,PassengerId,Superviviente,Clase,Nombre,Sexo,Edad,SibSp,Parch,Ticket,Precio pasaje,Puerta de embarque,Rango_Edad,Titulos
0,1,Muertos,Tercera,"Braund, Mr. Owen Harris",Hombre,22,1,0,A/5 21171,7.25,Southamptom,Adultos, Mr
1,2,Vivos,Primera,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mujer,38,1,0,PC 17599,71.2833,Cherbourg,Adultos, Mrs
2,3,Vivos,Tercera,"Heikkinen, Miss. Laina",Mujer,26,0,0,STON/O2. 3101282,7.925,Southamptom,Adultos, Miss
3,4,Vivos,Primera,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mujer,35,1,0,113803,53.1,Southamptom,Adultos, Mrs
4,5,Muertos,Tercera,"Allen, Mr. William Henry",Hombre,35,0,0,373450,8.05,Southamptom,Adultos, Mr
5,6,Muertos,Tercera,"Moran, Mr. James",Hombre,29,0,0,330877,8.4583,Queenstown,Adultos, Mr
6,7,Muertos,Primera,"McCarthy, Mr. Timothy J",Hombre,54,0,0,17463,51.8625,Southamptom,Mayores, Mr
7,8,Muertos,Tercera,"Palsson, Master. Gosta Leonard",Hombre,2,3,1,349909,21.075,Southamptom,Jóvenes, Master
8,9,Vivos,Tercera,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mujer,27,0,2,347742,11.1333,Southamptom,Adultos, Mrs
9,10,Vivos,Segunda,"Nasser, Mrs. Nicholas (Adele Achem)",Mujer,14,1,0,237736,30.0708,Cherbourg,Jóvenes, Mrs
10,11,Vivos,Tercera,"Sandstrom, Miss. Marguerite Rut",Mujer,4,1,1,PP 9549,16.7,Southamptom,Jóvenes, Miss
11,12,Vivos,Primera,"Bonnell, Miss. Elizabeth",Mujer,58,0,0,113783,26.55,Southamptom,Mayores, Miss
12,13,Muertos,Tercera,"Saundercock, Mr. William Henry",Hombre,20,0,0,A/5. 2151,8.05,Southamptom,Adultos, Mr
13,14,Muertos,Tercera,"Andersson, Mr. Anders Johan",Hombre,39,1,5,347082,31.275,Southamptom,Adultos, Mr
14,15,Muertos,Tercera,"Vestrom, Miss. Hulda Amanda Adolfina",Mujer,14,0,0,350406,7.8542,Southamptom,Jóvenes, Miss
15,16,Vivos,Segunda,"Hewlett, Mrs. (Mary D Kingcome) ",Mujer,55,0,0,248706,16.0,Southamptom,Mayores, Mrs
16,17,Muertos,Tercera,"Rice, Master. Eugene",Hombre,2,4,1,382652,29.125,Queenstown,Jóvenes, Master
17,18,Vivos,Segunda,"Williams, Mr. Charles Eugene",Hombre,29,0,0,244373,13.0,Southamptom,Adultos, Mr
18,19,Muertos,Tercera,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mujer,31,1,0,345763,18.0,Southamptom,Adultos, Mrs
19,20,Vivos,Tercera,"Masselmani, Mrs. Fatima",Mujer,29,0,0,2649,7.225,Cherbourg,Adultos, Mrs
20,21,Muertos,Segunda,"Fynney, Mr. Joseph J",Hombre,35,0,0,239865,26.0,Southamptom,Adultos, Mr
21,22,Vivos,Segunda,"Beesley, Mr. Lawrence",Hombre,34,0,0,248698,13.0,Southamptom,Adultos, Mr
22,23,Vivos,Tercera,"McGowan, Miss. Anna ""Annie""",Mujer,15,0,0,330923,8.0292,Queenstown,Jóvenes, Miss
23,24,Vivos,Primera,"Sloper, Mr. William Thompson",Hombre,28,0,0,113788,35.5,Southamptom,Adultos, Mr
24,25,Muertos,Tercera,"Palsson, Miss. Torborg Danira",Mujer,8,3,1,349909,21.075,Southamptom,Jóvenes, Miss
25,26,Vivos,Tercera,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Mujer,38,1,5,347077,31.3875,Southamptom,Adultos, Mrs
26,27,Muertos,Tercera,"Emir, Mr. Farred Chehab",Hombre,29,0,0,2631,7.225,Cherbourg,Adultos, Mr
27,28,Muertos,Primera,"Fortune, Mr. Charles Alexander",Hombre,19,3,2,19950,263.0,Southamptom,Adultos, Mr
28,29,Vivos,Tercera,"O'Dwyer, Miss. Ellen ""Nellie""",Mujer,29,0,0,330959,7.8792,Queenstown,Adultos, Miss
29,30,Muertos,Tercera,"Todoroff, Mr. Lalio",Hombre,29,0,0,349216,7.8958,Southamptom,Adultos, Mr
30,31,Muertos,Primera,"Uruchurtu, Don. Manuel E",Hombre,40,0,0,PC 17601,27.7208,Cherbourg,Adultos, Don
31,32,Vivos,Primera,"Spencer, Mrs. William Augustus (Marie Eugenie)",Mujer,29,1,0,PC 17569,146.5208,Cherbourg,Adultos, Mrs
32,33,Vivos,Tercera,"Glynn, Miss. Mary Agatha",Mujer,29,0,0,335677,7.75,Queenstown,Adultos, Miss
33,34,Muertos,Segunda,"Wheadon, Mr. Edward H",Hombre,66,0,0,C.A. 24579,10.5,Southamptom,Mayores, Mr
34,35,Muertos,Primera,"Meyer, Mr. Edgar Joseph",Hombre,28,1,0,PC 17604,82.1708,Cherbourg,Adultos, Mr
35,36,Muertos,Primera,"Holverson, Mr. Alexander Oskar",Hombre,42,1,0,113789,52.0,Southamptom,Adultos, Mr
36,37,Vivos,Tercera,"Mamee, Mr. Hanna",Hombre,29,0,0,2677,7.2292,Cherbourg,Adultos, Mr
37,38,Muertos,Tercera,"Cann, Mr. Ernest Charles",Hombre,21,0,0,A./5. 2152,8.05,Southamptom,Adultos, Mr
38,39,Muertos,Tercera,"Vander Planke, Miss. Augusta Maria",Mujer,18,2,0,345764,18.0,Southamptom,Adultos, Miss
39,40,Vivos,Tercera,"Nicola-Yarred, Miss. Jamila",Mujer,14,1,0,2651,11.2417,Cherbourg,Jóvenes, Miss
40,41,Muertos,Tercera,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mujer,40,1,0,7546,9.475,Southamptom,Adultos, Mrs
41,42,Muertos,Segunda,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mujer,27,1,0,11668,21.0,Southamptom,Adultos, Mrs
42,43,Muertos,Tercera,"Kraeff, Mr. Theodor",Hombre,29,0,0,349253,7.8958,Cherbourg,Adultos, Mr
43,44,Vivos,Segunda,"Laroche, Miss. Simonne Marie Anne Andree",Mujer,3,1,2,SC/Paris 2123,41.5792,Cherbourg,Jóvenes, Miss
44,45,Vivos,Tercera,"Devaney, Miss. Margaret Delia",Mujer,19,0,0,330958,7.8792,Queenstown,Adultos, Miss
45,46,Muertos,Tercera,"Rogers, Mr. William John",Hombre,29,0,0,S.C./A.4. 23567,8.05,Southamptom,Adultos, Mr
46,47,Muertos,Tercera,"Lennon, Mr. Denis",Hombre,29,1,0,370371,15.5,Queenstown,Adultos, Mr
47,48,Vivos,Tercera,"O'Driscoll, Miss. Bridget",Mujer,29,0,0,14311,7.75,Queenstown,Adultos, Miss
48,49,Muertos,Tercera,"Samaan, Mr. Youssef",Hombre,29,2,0,2662,21.6792,Cherbourg,Adultos, Mr
49,50,Muertos,Tercera,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Mujer,18,1,0,349237,17.8,Southamptom,Adultos, Mrs
50,51,Muertos,Tercera,"Panula, Master. Juha Niilo",Hombre,7,4,1,3101295,39.6875,Southamptom,Jóvenes, Master
51,52,Muertos,Tercera,"Nosworthy, Mr. Richard Cater",Hombre,21,0,0,A/4. 39886,7.8,Southamptom,Adultos, Mr
52,53,Vivos,Primera,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mujer,49,1,0,PC 17572,76.7292,Cherbourg,Adultos, Mrs
53,54,Vivos,Segunda,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mujer,29,1,0,2926,26.0,Southamptom,Adultos, Mrs
54,55,Muertos,Primera,"Ostby, Mr. Engelhart Cornelius",Hombre,65,0,1,113509,61.9792,Cherbourg,Mayores, Mr
55,56,Vivos,Primera,"Woolner, Mr. Hugh",Hombre,29,0,0,19947,35.5,Southamptom,Adultos, Mr
56,57,Vivos,Segunda,"Rugg, Miss. Emily",Mujer,21,0,0,C.A. 31026,10.5,Southamptom,Adultos, Miss
57,58,Muertos,Tercera,"Novel, Mr. Mansouer",Hombre,28,0,0,2697,7.2292,Cherbourg,Adultos, Mr
58,59,Vivos,Segunda,"West, Miss. Constance Mirium",Mujer,5,1,2,C.A. 34651,27.75,Southamptom,Jóvenes, Miss
59,60,Muertos,Tercera,"Goodwin, Master. William Frederick",Hombre,11,5,2,CA 2144,46.9,Southamptom,Jóvenes, Master
60,61,Muertos,Tercera,"Sirayanian, Mr. Orsen",Hombre,22,0,0,2669,7.2292,Cherbourg,Adultos, Mr
61,62,Vivos,Primera,"Icard, Miss. Amelie",Mujer,38,0,0,113572,80.0,Southamptom,Adultos, Miss
62,63,Muertos,Primera,"Harris, Mr. Henry Birkhardt",Hombre,45,1,0,36973,83.475,Southamptom,Adultos, Mr
63,64,Muertos,Tercera,"Skoog, Master. Harald",Hombre,4,3,2,347088,27.9,Southamptom,Jóvenes, Master
64,65,Muertos,Primera,"Stewart, Mr. Albert A",Hombre,29,0,0,PC 17605,27.7208,Cherbourg,Adultos, Mr
65,66,Vivos,Tercera,"Moubarek, Master. Gerios",Hombre,29,1,1,2661,15.2458,Cherbourg,Adultos, Master
66,67,Vivos,Segunda,"Nye, Mrs. (Elizabeth Ramell)",Mujer,29,0,0,C.A. 29395,10.5,Southamptom,Adultos, Mrs
67,68,Muertos,Tercera,"Crease, Mr. Ernest James",Hombre,19,0,0,S.P. 3464,8.1583,Southamptom,Adultos, Mr
68,69,Vivos,Tercera,"Andersson, Miss. Erna Alexandra",Mujer,17,4,2,3101281,7.925,Southamptom,Adultos, Miss
69,70,Muertos,Tercera,"Kink, Mr. Vincenz",Hombre,26,2,0,315151,8.6625,Southamptom,Adultos, Mr
70,71,Muertos,Segunda,"Jenkin, Mr. Stephen Curnow",Hombre,32,0,0,C.A. 33111,10.5,Southamptom,Adultos, Mr
71,72,Muertos,Tercera,"Goodwin, Miss. Lillian Amy",Mujer,16,5,2,CA 2144,46.9,Southamptom,Jóvenes, Miss
72,73,Muertos,Segunda,"Hood, Mr. Ambrose Jr",Hombre,21,0,0,S.O.C. 14879,73.5,Southamptom,Adultos, Mr
73,74,Muertos,Tercera,"Chronopoulos, Mr. Apostolos",Hombre,26,1,0,2680,14.4542,Cherbourg,Adultos, Mr
74,75,Vivos,Tercera,"Bing, Mr. Lee",Hombre,32,0,0,1601,56.4958,Southamptom,Adultos, Mr
75,76,Muertos,Tercera,"Moen, Mr. Sigurd Hansen",Hombre,25,0,0,348123,7.65,Southamptom,Adultos, Mr
76,77,Muertos,Tercera,"Staneff, Mr. Ivan",Hombre,29,0,0,349208,7.8958,Southamptom,Adultos, Mr
77,78,Muertos,Tercera,"Moutal, Mr. Rahamin Haim",Hombre,29,0,0,374746,8.05,Southamptom,Adultos, Mr
78,79,Vivos,Segunda,"Caldwell, Master. Alden Gates",Hombre,0,0,2,248738,29.0,Southamptom,, Master
79,80,Vivos,Tercera,"Dowdell, Miss. Elizabeth",Mujer,30,0,0,364516,12.475,Southamptom,Adultos, Miss
80,81,Muertos,Tercera,"Waelens, Mr. Achille",Hombre,22,0,0,345767,9.0,Southamptom,Adultos, Mr
81,82,Vivos,Tercera,"Sheerlinck, Mr. Jan Baptist",Hombre,29,0,0,345779,9.5,Southamptom,Adultos, Mr
82,83,Vivos,Tercera,"McDermott, Miss. Brigdet Delia",Mujer,29,0,0,330932,7.7875,Queenstown,Adultos, Miss
83,84,Muertos,Primera,"Carrau, Mr. Francisco M",Hombre,28,0,0,113059,47.1,Southamptom,Adultos, Mr
84,85,Vivos,Segunda,"Ilett, Miss. Bertha",Mujer,17,0,0,SO/C 14885,10.5,Southamptom,Adultos, Miss
85,86,Vivos,Tercera,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Mujer,33,3,0,3101278,15.85,Southamptom,Adultos, Mrs
86,87,Muertos,Tercera,"Ford, Mr. William Neal",Hombre,16,1,3,W./C. 6608,34.375,Southamptom,Jóvenes, Mr
87,88,Muertos,Tercera,"Slocovski, Mr. Selman Francis",Hombre,29,0,0,SOTON/OQ 392086,8.05,Southamptom,Adultos, Mr
88,89,Vivos,Primera,"Fortune, Miss. Mabel Helen",Mujer,23,3,2,19950,263.0,Southamptom,Adultos, Miss
89,90,Muertos,Tercera,"Celotti, Mr. Francesco",Hombre,24,0,0,343275,8.05,Southamptom,Adultos, Mr
90,91,Muertos,Tercera,"Christmann, Mr. Emil",Hombre,29,0,0,343276,8.05,Southamptom,Adultos, Mr
91,92,Muertos,Tercera,"Andreasson, Mr. Paul Edvin",Hombre,20,0,0,347466,7.8542,Southamptom,Adultos, Mr
92,93,Muertos,Primera,"Chaffee, Mr. Herbert Fuller",Hombre,46,1,0,W.E.P. 5734,61.175,Southamptom,Adultos, Mr
93,94,Muertos,Tercera,"Dean, Mr. Bertram Frank",Hombre,26,1,2,C.A. 2315,20.575,Southamptom,Adultos, Mr
94,95,Muertos,Tercera,"Coxon, Mr. Daniel",Hombre,59,0,0,364500,7.25,Southamptom,Mayores, Mr
95,96,Muertos,Tercera,"Shorney, Mr. Charles Joseph",Hombre,29,0,0,374910,8.05,Southamptom,Adultos, Mr
96,97,Muertos,Primera,"Goldschmidt, Mr. George B",Hombre,71,0,0,PC 17754,34.6542,Cherbourg,Mayores, Mr
97,98,Vivos,Primera,"Greenfield, Mr. William Bertram",Hombre,23,0,1,PC 17759,63.3583,Cherbourg,Adultos, Mr
98,99,Vivos,Segunda,"Doling, Mrs. John T (Ada Julia Bone)",Mujer,34,0,1,231919,23.0,Southamptom,Adultos, Mrs
99,100,Muertos,Segunda,"Kantor, Mr. Sinai",Hombre,34,1,0,244367,26.0,Southamptom,Adultos, Mr
100,101,Muertos,Tercera,"Petranec, Miss. Matilda",Mujer,28,0,0,349245,7.8958,Southamptom,Adultos, Miss
101,102,Muertos,Tercera,"Petroff, Mr. Pastcho (""Pentcho"")",Hombre,29,0,0,349215,7.8958,Southamptom,Adultos, Mr
102,103,Muertos,Primera,"White, Mr. Richard Frasar",Hombre,21,0,1,35281,77.2875,Southamptom,Adultos, Mr
103,104,Muertos,Tercera,"Johansson, Mr. Gustaf Joel",Hombre,33,0,0,7540,8.6542,Southamptom,Adultos, Mr
104,105,Muertos,Tercera,"Gustafsson, Mr. Anders Vilhelm",Hombre,37,2,0,3101276,7.925,Southamptom,Adultos, Mr
105,106,Muertos,Tercera,"Mionoff, Mr. Stoytcho",Hombre,28,0,0,349207,7.8958,Southamptom,Adultos, Mr
106,107,Vivos,Tercera,"Salkjelsvik, Miss. Anna Kristine",Mujer,21,0,0,343120,7.65,Southamptom,Adultos, Miss
107,108,Vivos,Tercera,"Moss, Mr. Albert Johan",Hombre,29,0,0,312991,7.775,Southamptom,Adultos, Mr
108,109,Muertos,Tercera,"Rekic, Mr. Tido",Hombre,38,0,0,349249,7.8958,Southamptom,Adultos, Mr
109,110,Vivos,Tercera,"Moran, Miss. Bertha",Mujer,29,1,0,371110,24.15,Queenstown,Adultos, Miss
110,111,Muertos,Primera,"Porter, Mr. Walter Chamberlain",Hombre,47,0,0,110465,52.0,Southamptom,Adultos, Mr
111,112,Muertos,Tercera,"Zabour, Miss. Hileni",Mujer,14,1,0,2665,14.4542,Cherbourg,Jóvenes, Miss
112,113,Muertos,Tercera,"Barton, Mr. David John",Hombre,22,0,0,324669,8.05,Southamptom,Adultos, Mr
113,114,Muertos,Tercera,"Jussila, Miss. Katriina",Mujer,20,1,0,4136,9.825,Southamptom,Adultos, Miss
114,115,Muertos,Tercera,"Attalah, Miss. Malake",Mujer,17,0,0,2627,14.4583,Cherbourg,Adultos, Miss
115,116,Muertos,Tercera,"Pekoniemi, Mr. Edvard",Hombre,21,0,0,STON/O 2. 3101294,7.925,Southamptom,Adultos, Mr
116,117,Muertos,Tercera,"Connors, Mr. Patrick",Hombre,70,0,0,370369,7.75,Queenstown,Mayores, Mr
117,118,Muertos,Segunda,"Turpin, Mr. William John Robert",Hombre,29,1,0,11668,21.0,Southamptom,Adultos, Mr
118,119,Muertos,Primera,"Baxter, Mr. Quigg Edmond",Hombre,24,0,1,PC 17558,247.5208,Cherbourg,Adultos, Mr
119,120,Muertos,Tercera,"Andersson, Miss. Ellis Anna Maria",Mujer,2,4,2,347082,31.275,Southamptom,Jóvenes, Miss
120,121,Muertos,Segunda,"Hickman, Mr. Stanley George",Hombre,21,2,0,S.O.C. 14879,73.5,Southamptom,Adultos, Mr
121,122,Muertos,Tercera,"Moore, Mr. Leonard Charles",Hombre,29,0,0,A4. 54510,8.05,Southamptom,Adultos, Mr
122,123,Muertos,Segunda,"Nasser, Mr. Nicholas",Hombre,32,1,0,237736,30.0708,Cherbourg,Adultos, Mr
123,124,Vivos,Segunda,"Webber, Miss. Susan",Mujer,32,0,0,27267,13.0,Southamptom,Adultos, Miss
124,125,Muertos,Primera,"White, Mr. Percival Wayland",Hombre,54,0,1,35281,77.2875,Southamptom,Mayores, Mr
125,126,Vivos,Tercera,"Nicola-Yarred, Master. Elias",Hombre,12,1,0,2651,11.2417,Cherbourg,Jóvenes, Master
126,127,Muertos,Tercera,"McMahon, Mr. Martin",Hombre,29,0,0,370372,7.75,Queenstown,Adultos, Mr
127,128,Vivos,Tercera,"Madsen, Mr. Fridtjof Arne",Hombre,24,0,0,C 17369,7.1417,Southamptom,Adultos, Mr
128,129,Vivos,Tercera,"Peter, Miss. Anna",Mujer,29,1,1,2668,22.3583,Cherbourg,Adultos, Miss
129,130,Muertos,Tercera,"Ekstrom, Mr. Johan",Hombre,45,0,0,347061,6.975,Southamptom,Adultos, Mr
130,131,Muertos,Tercera,"Drazenoic, Mr. Jozef",Hombre,33,0,0,349241,7.8958,Cherbourg,Adultos, Mr
131,132,Muertos,Tercera,"Coelho, Mr. Domingos Fernandeo",Hombre,20,0,0,SOTON/O.Q. 3101307,7.05,Southamptom,Adultos, Mr
132,133,Muertos,Tercera,"Robins, Mrs. Alexander A (Grace Charity Laury)",Mujer,47,1,0,A/5. 3337,14.5,Southamptom,Adultos, Mrs
133,134,Vivos,Segunda,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Mujer,29,1,0,228414,26.0,Southamptom,Adultos, Mrs
134,135,Muertos,Segunda,"Sobey, Mr. Samuel James Hayden",Hombre,25,0,0,C.A. 29178,13.0,Southamptom,Adultos, Mr
135,136,Muertos,Segunda,"Richard, Mr. Emile",Hombre,23,0,0,SC/PARIS 2133,15.0458,Cherbourg,Adultos, Mr
136,137,Vivos,Primera,"Newsom, Miss. Helen Monypeny",Mujer,19,0,2,11752,26.2833,Southamptom,Adultos, Miss
137,138,Muertos,Primera,"Futrelle, Mr. Jacques Heath",Hombre,37,1,0,113803,53.1,Southamptom,Adultos, Mr
138,139,Muertos,Tercera,"Osen, Mr. Olaf Elon",Hombre,16,0,0,7534,9.2167,Southamptom,Jóvenes, Mr
139,140,Muertos,Primera,"Giglio, Mr. Victor",Hombre,24,0,0,PC 17593,79.2,Cherbourg,Adultos, Mr
140,141,Muertos,Tercera,"Boulos, Mrs. Joseph (Sultana)",Mujer,29,0,2,2678,15.2458,Cherbourg,Adultos, Mrs
141,142,Vivos,Tercera,"Nysten, Miss. Anna Sofia",Mujer,22,0,0,347081,7.75,Southamptom,Adultos, Miss
142,143,Vivos,Tercera,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Mujer,24,1,0,STON/O2. 3101279,15.85,Southamptom,Adultos, Mrs
143,144,Muertos,Tercera,"Burke, Mr. Jeremiah",Hombre,19,0,0,365222,6.75,Queenstown,Adultos, Mr
144,145,Muertos,Segunda,"Andrew, Mr. Edgardo Samuel",Hombre,18,0,0,231945,11.5,Southamptom,Adultos, Mr
145,146,Muertos,Segunda,"Nicholls, Mr. Joseph Charles",Hombre,19,1,1,C.A. 33112,36.75,Southamptom,Adultos, Mr
146,147,Vivos,Tercera,"Andersson, Mr. August Edvard (""Wennerstrom"")",Hombre,27,0,0,350043,7.7958,Southamptom,Adultos, Mr
147,148,Muertos,Tercera,"Ford, Miss. Robina Maggie ""Ruby""",Mujer,9,2,2,W./C. 6608,34.375,Southamptom,Jóvenes, Miss
148,149,Muertos,Segunda,"Navratil, Mr. Michel (""Louis M Hoffman"")",Hombre,36,0,2,230080,26.0,Southamptom,Adultos, Mr
149,150,Muertos,Segunda,"Byles, Rev. Thomas Roussel Davids",Hombre,42,0,0,244310,13.0,Southamptom,Adultos, Rev
150,151,Muertos,Segunda,"Bateman, Rev. Robert James",Hombre,51,0,0,S.O.P. 1166,12.525,Southamptom,Mayores, Rev
151,152,Vivos,Primera,"Pears, Mrs. Thomas (Edith Wearne)",Mujer,22,1,0,113776,66.6,Southamptom,Adultos, Mrs
152,153,Muertos,Tercera,"Meo, Mr. Alfonzo",Hombre,55,0,0,A.5. 11206,8.05,Southamptom,Mayores, Mr
153,154,Muertos,Tercera,"van Billiard, Mr. Austin Blyler",Hombre,40,0,2,A/5. 851,14.5,Southamptom,Adultos, Mr
154,155,Muertos,Tercera,"Olsen, Mr. Ole Martin",Hombre,29,0,0,Fa 265302,7.3125,Southamptom,Adultos, Mr
155,156,Muertos,Primera,"Williams, Mr. Charles Duane",Hombre,51,0,1,PC 17597,61.3792,Cherbourg,Mayores, Mr
156,157,Vivos,Tercera,"Gilnagh, Miss. Katherine ""Katie""",Mujer,16,0,0,35851,7.7333,Queenstown,Jóvenes, Miss
157,158,Muertos,Tercera,"Corn, Mr. Harry",Hombre,30,0,0,SOTON/OQ 392090,8.05,Southamptom,Adultos, Mr
158,159,Muertos,Tercera,"Smiljanic, Mr. Mile",Hombre,29,0,0,315037,8.6625,Southamptom,Adultos, Mr
159,160,Muertos,Tercera,"Sage, Master. Thomas Henry",Hombre,29,8,2,CA. 2343,69.55,Southamptom,Adultos, Master
160,161,Muertos,Tercera,"Cribb, Mr. John Hatfield",Hombre,44,0,1,371362,16.1,Southamptom,Adultos, Mr
161,162,Vivos,Segunda,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Mujer,40,0,0,C.A. 33595,15.75,Southamptom,Adultos, Mrs
162,163,Muertos,Tercera,"Bengtsson, Mr. John Viktor",Hombre,26,0,0,347068,7.775,Southamptom,Adultos, Mr
163,164,Muertos,Tercera,"Calic, Mr. Jovo",Hombre,17,0,0,315093,8.6625,Southamptom,Adultos, Mr
164,165,Muertos,Tercera,"Panula, Master. Eino Viljami",Hombre,1,4,1,3101295,39.6875,Southamptom,Jóvenes, Master
165,166,Vivos,Tercera,"Goldsmith, Master. Frank John William ""Frankie""",Hombre,9,0,2,363291,20.525,Southamptom,Jóvenes, Master
166,167,Vivos,Primera,"Chibnall, Mrs. (Edith Martha Bowerman)",Mujer,29,0,1,113505,55.0,Southamptom,Adultos, Mrs
167,168,Muertos,Tercera,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Mujer,45,1,4,347088,27.9,Southamptom,Adultos, Mrs
168,169,Muertos,Primera,"Baumann, Mr. John D",Hombre,29,0,0,PC 17318,25.925,Southamptom,Adultos, Mr
169,170,Muertos,Tercera,"Ling, Mr. Lee",Hombre,28,0,0,1601,56.4958,Southamptom,Adultos, Mr
170,171,Muertos,Primera,"Van der hoef, Mr. Wyckoff",Hombre,61,0,0,111240,33.5,Southamptom,Mayores, Mr
171,172,Muertos,Tercera,"Rice, Master. Arthur",Hombre,4,4,1,382652,29.125,Queenstown,Jóvenes, Master
172,173,Vivos,Tercera,"Johnson, Miss. Eleanor Ileen",Mujer,1,1,1,347742,11.1333,Southamptom,Jóvenes, Miss
173,174,Muertos,Tercera,"Sivola, Mr. Antti Wilhelm",Hombre,21,0,0,STON/O 2. 3101280,7.925,Southamptom,Adultos, Mr
174,175,Muertos,Primera,"Smith, Mr. James Clinch",Hombre,56,0,0,17764,30.6958,Cherbourg,Mayores, Mr
175,176,Muertos,Tercera,"Klasen, Mr. Klas Albin",Hombre,18,1,1,350404,7.8542,Southamptom,Adultos, Mr
176,177,Muertos,Tercera,"Lefebre, Master. Henry Forbes",Hombre,29,3,1,4133,25.4667,Southamptom,Adultos, Master
